id,first_name,last_name,sueldo
1,Jasen,Bloxholm,$30733.56
2,Sascha,Egglestone,$42673.47
3,Poul,Tomkinson,$37922.23
4,Van,Niesegen,$37767.53
5,Pascale,Raft,$30983.78
6,Margit,Skule,$48868.33
7,Leonerd,Goodayle,$36255.27
8,Enoch,Pahler,$43743.04
9,Tammara,Boscott,$40013.52
10,Stella,Iddy,$35842.74
11,Ilsa,Gowthorpe,$31423.11
12,Marj,Hotson,$37748.21
13,Anderson,Gaylor,$43208.26
14,Colet,Glassard,$47973.37
15,Nealy,Dootson,$46687.65
16,Dania,Gerrish,$38191.67
17,Babs,Schuchmacher,$41821.11
18,Shalom,Gounard,$39314.71
19,Natasha,Kulas,$36503.31
20,Adriana,Rodgier,$47693.52
21,Marielle,Dadge,$40424.25
22,Nonna,Pelos,$30844.05
23,Lock,Tudhope,$45586.45
24,Avril,Nott,$31546.78
25,Iris,Prandy,$46623.29
26,Babette,Dorgon,$39940.67
27,Theodore,Corner,$47205.25
28,Clemence,Verryan,$34513.74
29,Dusty,Klimkovich,$43743.20
30,Ashlen,Dunbobin,$30566.90
31,Ernesta,Easterbrook,$33020.16
32,Phylys,Bubeer,$45145.73
33,Shawn,Gascard,$36484.87
34,Stacey,Sandercock,$32944.66
35,Della,Forrington,$31044.05
36,Ilyse,Haith,$33818.16
37,Miof mela,Fairpo,$42698.31
38,Minna,Winspeare,$42006.13
39,Bonnee,Clymer,$48224.52
40,Artemus,O'Dreain,$49203.95
41,Darwin,Skehan,$48578.56
42,Bernie,Collis,$34914.66
43,Isaak,Jadczak,$44697.81
44,Allx,Abramow,$48053.92
45,Krystyna,MacConnechie,$46453.66
46,Malchy,Loxston,$45876.55
47,Costanza,Marvelley,$35273.42
48,Carmelita,Bydaway,$49540.92
49,Deloria,Ramstead,$32017.31
50,Obed,Gorvin,$42523.47
