id,first_name,last_name,sueldo
1,Juliana,Mogridge,$39286.04
2,Chadd,Branney,$40077.33
3,Jayne,Creddon,$42823.85
4,Gayle,Burkwood,$49170.63
5,Darb,Sanchis,$35014.84
6,Reade,Van Leeuwen,$32147.96
7,Case,Leigh,$36291.89
8,Arnie,Cianni,$38737.57
9,Wally,Laurand,$49367.66
10,Pammie,Seaman,$39211.64
11,Victoir,Lowbridge,$37125.60
12,Daria,Tomczynski,$47605.35
13,Isa,Densey,$47286.41
14,Karlene,Goldhill,$47535.64
15,Charissa,Benneyworth,$46130.42
16,Aubry,McBain,$43687.83
17,Shalne,Bottom,$47253.39
18,Gayleen,Jorczyk,$46839.34
19,Tome,Sturgeon,$49508.12
20,Larissa,Woodall,$36152.27
21,Meir,Merring,$39310.50
22,Ronnie,Leavy,$44467.57
23,Shelly,Hutt,$32227.87
24,Cordi,Sabate,$45486.63
25,Ludvig,Jorg,$48844.04
26,Phillipp,Baynard,$30093.60
27,Adelice,Brogiotti,$38365.21
28,Happy,Olman,$48945.38
29,Elie,Greenhalf,$36364.63
30,Wilburt,Peyntue,$47475.60
31,Haroun,Chesworth,$34187.83
32,Kiel,Cudbertson,$32074.14
33,Isidor,Addams,$45259.63
34,Anne-corinne,Hastelow,$34243.06
35,Fairfax,Alans,$44835.44
36,Meyer,Fernley,$48250.27
37,Jacenta,Remington,$40069.88
38,Jeanie,Woodison,$48072.15
39,Yorgos,Snaith,$42297.76
40,Rawley,Garmon,$36172.08
41,Dill,Swiggs,$41658.94
42,Dallas,Rowdell,$42145.33
43,Enos,Nurse,$49098.69
44,Tadio,Bann,$42117.32
45,Glori,Christofor,$48918.00
46,Jabez,Francesc,$33928.86
47,Sheree,Thurlow,$41437.05
48,Doroteya,Snoden,$40217.85
49,Wit,Christoffersen,$39199.68
50,Trish,Tredinnick,$31566.61
51,Jamaal,Stennine,$49351.19
52,Hayden,McNeice,$43898.82
53,Donielle,Dole,$30075.01
54,Leeanne,MacDougal,$48394.59
55,Violette,Yurenin,$30251.48
56,Sergeant,Long,$40216.77
57,Loraine,Josefson,$42690.00
58,Anabal,Delle,$33001.65
59,Raf,Gozzett,$43938.94
60,Zane,Allam,$39936.94
61,Hedy,Bertl,$46636.51
62,Bryn,Jobey,$30231.60
63,Julissa,Muccino,$33438.06
64,Roseanna,Postlethwaite,$39111.94
65,Karleen,Pingstone,$35320.38
66,Leanna,Woolmore,$47066.44
67,Carlota,Cappel,$35788.76
68,Mechelle,McNysche,$44978.30
69,Catarina,Colpus,$45737.35
70,Charla,Glashby,$48311.54
71,Alys,Blowick,$48534.62
72,Codi,Brunnen,$49886.24
73,Shem,Habgood,$46368.90
74,Rafaela,Beckworth,$31983.78
75,Rolfe,Giovannazzi,$44455.19
76,Alfons,Elijah,$41368.50
77,Judye,McEnhill,$42258.17
78,Rod,Callaghan,$42477.34
79,Carney,O'Quin,$39581.29
80,Gloriana,Griffitts,$44083.86
81,Cristy,Ohrt,$31866.63
82,Jacynth,Simioli,$39451.82
83,Alikee,Covil,$39260.19
84,Caleb,Shieber,$33688.94
85,Carol-jean,McAlarney,$34382.80
86,Brand,Martlew,$43753.85
87,Johannah,MacNess,$30317.31
88,Denyse,Wiggam,$39341.67
89,Bjorn,Blase,$44950.25
90,Darrick,Carling,$34011.76
91,Beatrix,MacKintosh,$47305.91
92,Palmer,Dureden,$44280.80
93,Geraldine,Leppo,$39304.54
94,Noami,Meadows,$47414.18
95,Philippe,Booth-Jarvis,$36829.55
96,Felecia,Shelsher,$32231.61
97,Jess,Veillard,$34674.55
98,Stevie,Tulk,$33225.24
99,Barnard,Laurie,$35028.51
100,Hazel,O'Nowlan,$44267.20
101,Ernestus,Abry,$49633.65
102,Rachael,Butts,$49827.82
103,Daren,Poppleton,$36173.27
104,Kendricks,Valance,$45985.37
105,Corinna,Spraggs,$32733.37
106,Timofei,Keyworth,$35046.05
107,Dov,Flacknell,$30902.78
