id,first_name,job_title,age,worked_hours,salary
1001,Damian,Information Systems Manager,45,189,0
1002,Katee,Project Manager,26,34,0
1003,Anthia,Librarian,50,118,0
1004,Debora,Quality Engineer,46,142,0
1005,Veda,Chemical Engineer,59,132,0
1006,Sadye,Chemical Engineer,36,2,0
1007,Becky,Senior Sales Associate,45,90,0
1008,Enrichetta,Account Executive,38,22,0
1009,Eveleen,Senior Cost Accountant,37,165,0
1010,Gordon,Sales Representative,57,183,0
1011,Garrett,VP Sales,45,92,0
1012,Dulsea,Safety Technician I,30,199,0
1013,Nichol,Software Engineer I,45,141,0
1014,Olivia,Staff Accountant III,39,145,0
1015,Ealasaid,VP Quality Control,53,136,0
1016,Glennie,Research Nurse,52,76,0
1017,Danit,Recruiter,20,139,0
1018,Sayer,Systems Administrator II,31,162,0
1019,Betty,Assistant Media Planner,30,20,0
1020,Cesare,VP Accounting,38,128,0
1021,Theodosia,Research Nurse,24,73,0
1022,Morgan,Help Desk Operator,53,183,0
1023,Stearn,Legal Assistant,37,186,0
1024,Paddie,Internal Auditor,37,9,0
1025,Ilyse,Legal Assistant,37,145,0
1026,Adrian,Account Coordinator,46,61,0
1027,Garrott,Environmental Tech,21,140,0
1028,Schuyler,Accountant II,58,82,0
1029,Jedediah,Occupational Therapist,59,186,0
1030,Jonie,Product Engineer,38,8,0
1031,Jennine,Senior Quality Engineer,28,149,0
1032,Allison,Financial Advisor,21,0,0
1033,Athena,Nuclear Power Engineer,44,142,0
1034,Addy,Analog Circuit Design manager,44,66,0
1035,Barbi,Operator,20,12,0
1036,Phillie,Account Executive,58,10,0
1037,Don,Media Manager I,37,155,0
1038,Pandora,Quality Control Specialist,58,195,0
1039,Debera,Structural Engineer,65,124,0
1040,Bernie,Nuclear Power Engineer,32,58,0
1041,Kyle,Librarian,21,30,0
1042,Jenni,Nurse,55,59,0
1043,Trisha,Technical Writer,32,173,0
1044,Courtney,Physical Therapy Assistant,63,5,0
1045,Bartolomeo,Account Coordinator,42,34,0
1046,Codee,Marketing Assistant,54,81,0
1047,Vasili,Assistant Professor,59,139,0
1048,Panchito,Director of Sales,40,105,0
1049,Alfonse,Electrical Engineer,61,18,0
1050,Udell,Editor,23,110,0
1051,Jay,Analog Circuit Design manager,62,132,0
1052,Hamish,Software Engineer I,47,99,0
1053,Chaddy,Chemical Engineer,51,28,0
1054,Arly,Software Consultant,57,113,0
1055,Donovan,Operator,38,89,0
1056,Aloin,Director of Sales,28,146,0
1057,Betteanne,Staff Scientist,47,159,0
1058,Herschel,Actuary,57,12,0
1059,Yankee,Marketing Assistant,41,101,0
1060,Ernaline,Systems Administrator I,61,38,0
1061,Caryl,Technical Writer,41,182,0
1062,Thomas,Account Coordinator,22,193,0
1063,Nehemiah,VP Marketing,59,45,0
1064,Josefina,Internal Auditor,34,152,0
1065,Jen,Senior Cost Accountant,38,29,0
1066,Celia,Geological Engineer,51,41,0
1067,Ludwig,Developer III,23,80,0
1068,Zarah,Research Assistant II,45,41,0
1069,Conrado,Web Developer IV,21,17,0
1070,Modesta,Help Desk Technician,52,41,0
1071,Bertrand,Social Worker,39,64,0
1072,Thorstein,Associate Professor,50,70,0
1073,Peterus,Biostatistician IV,45,11,0
1074,Melisande,Developer II,31,140,0
1075,Grady,Marketing Assistant,23,196,0
1076,Mireille,Actuary,45,183,0
1077,Wynny,Database Administrator IV,39,59,0
1078,Derk,Assistant Media Planner,52,154,0
1079,Sigismondo,Research Assistant IV,46,89,0
1080,Kellen,Registered Nurse,31,36,0
1081,Kalvin,Chemical Engineer,33,34,0
1082,Thornton,Chemical Engineer,19,172,0
1083,Lyndsey,Internal Auditor,45,132,0
1084,Cheryl,Administrative Officer,40,86,0
1085,Jamima,Speech Pathologist,36,8,0
1086,Eldin,Recruiting Manager,33,1,0
1087,Wes,Physical Therapy Assistant,26,32,0
1088,Denver,Analog Circuit Design manager,34,25,0
1089,Teddy,Budget/Accounting Analyst IV,56,73,0
1090,Enos,Tax Accountant,62,85,0
1091,Chrysa,Human Resources Manager,62,31,0
1092,Estelle,Structural Analysis Engineer,34,1,0
1093,Arabel,Accountant I,57,111,0
1094,Roddie,Chief Design Engineer,51,128,0
1095,Marya,Actuary,31,65,0
1096,Raeann,Geologist III,45,149,0
1097,Maurene,Business Systems Development Analyst,54,166,0
1098,Tynan,Assistant Manager,52,10,0
1099,Britt,Project Manager,54,58,0
1100,Halley,Administrative Assistant I,28,5,0
