id,first_name,job_title,age,worked_hours,salary
1034,Addy,Analog Circuit Design manager,44,66,19800
1026,Adrian,Account Coordinator,46,61,18300
1049,Alfonse,Electrical Engineer,61,18,5400
1003,Anthia,Librarian,50,118,35400
1093,Arabel,Accountant I,57,111,33300
1054,Arly,Software Consultant,57,113,33900
1033,Athena,Nuclear Power Engineer,44,142,42600
1045,Bartolomeo,Account Coordinator,42,34,10200
1007,Becky,Senior Sales Associate,45,90,27000
1057,Betteanne,Staff Scientist,47,159,47700
1099,Britt,Project Manager,54,58,17400
1061,Caryl,Technical Writer,41,182,54600
1066,Celia,Geological Engineer,51,41,12300
1053,Chaddy,Chemical Engineer,51,28,8400
1091,Chrysa,Human Resources Manager,62,31,9300
1046,Codee,Marketing Assistant,54,81,24300
1044,Courtney,Physical Therapy Assistant,63,5,1500
1001,Damian,Information Systems Manager,45,189,56700
1039,Debera,Structural Engineer,65,124,37200
1004,Debora,Quality Engineer,46,142,42600
1078,Derk,Assistant Media Planner,52,154,46200
1015,Ealasaid,VP Quality Control,53,136,40800
1090,Enos,Tax Accountant,62,85,25500
1060,Ernaline,Systems Administrator I,61,38,11400
1011,Garrett,VP Sales,45,92,27600
1016,Glennie,Research Nurse,52,76,22800
1010,Gordon,Sales Representative,57,183,54900
1052,Hamish,Software Engineer I,47,99,29700
1058,Herschel,Actuary,57,12,3600
1051,Jay,Analog Circuit Design manager,62,132,39600
1029,Jedediah,Occupational Therapist,59,186,55800
1042,Jenni,Nurse,55,59,17700
1083,Lyndsey,Internal Auditor,45,132,39600
1097,Maurene,Business Systems Development Analyst,54,166,49800
1076,Mireille,Actuary,45,183,54900
1070,Modesta,Help Desk Technician,52,41,12300
1022,Morgan,Help Desk Operator,53,183,54900
1063,Nehemiah,VP Marketing,59,45,13500
1013,Nichol,Software Engineer I,45,141,42300
1038,Pandora,Quality Control Specialist,58,195,58500
1073,Peterus,Biostatistician IV,45,11,3300
1036,Phillie,Account Executive,58,10,3000
1096,Raeann,Geologist III,45,149,44700
1094,Roddie,Chief Design Engineer,51,128,38400
1028,Schuyler,Accountant II,58,82,24600
1079,Sigismondo,Research Assistant IV,46,89,26700
1089,Teddy,Budget/Accounting Analyst IV,56,73,21900
1072,Thorstein,Associate Professor,50,70,21000
1098,Tynan,Assistant Manager,52,10,3000
1047,Vasili,Assistant Professor,59,139,41700
1005,Veda,Chemical Engineer,59,132,39600
1059,Yankee,Marketing Assistant,41,101,30300
1068,Zarah,Research Assistant II,45,41,12300
